Kommune;Tal
Hele landet;287682
Hovedstadskommuner;326419
Storbykommuner;271338
Provinsbykommuner;280533
Oplandskommuner;283222
Landkommuner;256516
København;295836
Frederiksberg;344810
Dragør;375847
Tårnby;299878
Albertslund;248808
Ballerup;285035
Brøndby;251169
Gentofte;570329
Gladsaxe;310421
Glostrup;280422
Herlev;291266
Hvidovre;284383
Høje-Taastrup;269751
Ishøj;248266
Lyngby-Taarbæk;401048
Rødovre;282144
Vallensbæk;298557
Allerød;363562
Egedal;319596
Fredensborg;344577
Frederikssund;284504
Furesø;371605
Gribskov;292834
Halsnæs;268127
Helsingør;310173
Hillerød;320229
Hørsholm;452520
Rudersdal;538360
Bornholm;242923
Greve;306548
Køge;291848
Lejre;305283
Roskilde;323534
Solrød;336771
Faxe;262570
Guldborgsund;246113
Holbæk;277859
Kalundborg;272926
Lolland;235450
Næstved;264921
Odsherred;250261
Ringsted;275838
Slagelse;257137
Sorø;276440
Stevns;277295
Vordingborg;253932
Assens;252783
Faaborg-Midtfyn;254250
Kerteminde;267813
Langeland;229128
Middelfart;285877
Nordfyns;252071
Nyborg;256450
Odense;257928
Svendborg;263984
Ærø;235120
Billund;286776
Esbjerg;274660
Fanø;277700
Fredericia;268774
Haderslev;251031
Kolding;275204
Sønderborg;255717
Tønder;249158
Varde;268401
Vejen;361047
Vejle;291272
Aabenraa;259641
Favrskov;285147
Hedensted;276539
Horsens;271024
Norddjurs;249494
Odder;277813
Randers;256955
Samsø;248849
Silkeborg;289539
Skanderborg;307806
Syddjurs;271971
Aarhus;281588
Herning;273181
Holstebro;269279
Ikast-Brande;265794
Lemvig;273175
Ringkøbing-Skjern;270125
Skive;258877
Struer;254689
Viborg;268000
Brønderslev;255600
Frederikshavn;258890
Hjørring;255917
Jammerbugt;254538
Læsø;240554
Mariagerfjord;262216
Morsø;246623
Rebild;291879
Thisted;252934
Vesthimmerlands;253230
Aalborg;266935
