Year;Income
1987;85251
1988;90855
1989;95719
1990;98857
1991;103143
1992;105959
1993;108428
1994;115551
1995;119973
1996;123786
1997;127797
1998;132920
1999;136809
2000;140851
2001;145031
2002;151324
2003;155265
2004;163565
2005;168795
2006;173866
2007;182570
2008;187471
2009;193732
2010;206531
2011;207870
2012;211113
2013;214748
2014;219360
2015;222037
2016;225877
2017;229323
2018;235627
2019;240677
2020;251925
2021;262239
2022;264794
2023;276722
2024;285289
