Year;Parcel_og_raekkehus_dkk_pr_m2;Ejerlejlighed_dkk_pr_m2
1992;4373;5614
1993;4394;5172
1994;4824;5614
1995;5158;5815
1996;5745;6323
1997;6434;6962
1998;7210;8144
1999;7390;8764
2000;7398;8779
2001;7641;9286
2002;7757;9345
2003;7789;9845
2004;8730;10512
2005;10490;12490
2006;13176;15970
2007;14245;16564
2008;14057;15329
2009;12690;14433
2010;12979;14532
2011;12462;13514
2012;12095;13676
2013;12368;14191
2014;12647;15152
2015;13314;16349
2016;13927;17274
2017;14235;18590
2018;15115;20318
2019;15786;21859
2020;16114;22898
2021;17764;23905
2022;17782;22844
2023;17689;22280
2024;17929;22454
