Municipality;Time;Parcel_og_raekkehus_dkk_pr_m2;Ejerlejlighed_dkk_pr_m2
Koebenhavn;1992K1;5355;5843
Koebenhavn;1992K2;5451;5935
Koebenhavn;1992K3;5374;5701
Koebenhavn;1992K4;5171;5638
Koebenhavn;1993K1;5068;5322
Koebenhavn;1993K2;5186;5314
Koebenhavn;1993K3;5609;5519
Koebenhavn;1993K4;5519;5417
Koebenhavn;1994K1;5503;5435
Koebenhavn;1994K2;5885;5288
Koebenhavn;1994K3;5621;5280
Koebenhavn;1994K4;5328;5252
Koebenhavn;1995K1;5675;5382
Koebenhavn;1995K2;5924;5436
Koebenhavn;1995K3;6014;5766
Koebenhavn;1995K4;6299;5709
Koebenhavn;1996K1;6764;5958
Koebenhavn;1996K2;6991;6420
Koebenhavn;1996K3;7210;6310
Koebenhavn;1996K4;7227;6333
Koebenhavn;1997K1;7670;6773
Koebenhavn;1997K2;8263;7151
Koebenhavn;1997K3;8234;7372
Koebenhavn;1997K4;8520;7708
Koebenhavn;1998K1;9201;8089
Koebenhavn;1998K2;9275;8547
Koebenhavn;1998K3;9606;9046
Koebenhavn;1998K4;9762;9475
Koebenhavn;1999K1;9925;10271
Koebenhavn;1999K2;10590;10706
Koebenhavn;1999K3;10479;11220
Koebenhavn;1999K4;11078;11172
Koebenhavn;2000K1;10637;11657
Koebenhavn;2000K2;11422;12329
Koebenhavn;2000K3;11737;12528
Koebenhavn;2000K4;12562;13035
Koebenhavn;2001K1;12419;13656
Koebenhavn;2001K2;13571;14518
Koebenhavn;2001K3;13713;15348
Koebenhavn;2001K4;13422;15254
Koebenhavn;2002K1;14159;15935
Koebenhavn;2002K2;14256;16273
Koebenhavn;2002K3;14364;16655
Koebenhavn;2002K4;14191;16501
Koebenhavn;2003K1;14333;17636
Koebenhavn;2003K2;15552;17591
Koebenhavn;2003K3;15222;17557
Koebenhavn;2003K4;15715;17665
Koebenhavn;2004K1;16139;18550
Koebenhavn;2004K2;16857;19200
Koebenhavn;2004K3;17269;20224
Koebenhavn;2004K4;18771;21083
Koebenhavn;2005K1;19501;22480
Koebenhavn;2005K2;21562;24659
Koebenhavn;2005K3;23821;27399
Koebenhavn;2005K4;25553;29501
Koebenhavn;2006K1;27206;30086
Koebenhavn;2006K2;27479;31849
Koebenhavn;2006K3;28366;31430
Koebenhavn;2006K4;29214;29282
Koebenhavn;2007K1;27942;27788
Koebenhavn;2007K2;27929;27182
Koebenhavn;2007K3;26836;26925
Koebenhavn;2007K4;25853;25840
Koebenhavn;2008K1;26852;24767
Koebenhavn;2008K2;26058;24458
Koebenhavn;2008K3;24502;23293
Koebenhavn;2008K4;22342;21232
Koebenhavn;2009K1;20825;20030
Koebenhavn;2009K2;20847;20479
Koebenhavn;2009K3;21954;20580
Koebenhavn;2009K4;22090;21530
Koebenhavn;2010K1;22775;22321
Koebenhavn;2010K2;24160;23326
Koebenhavn;2010K3;24260;23164
Koebenhavn;2010K4;24357;23252
Koebenhavn;2011K1;23203;23559
Koebenhavn;2011K2;25144;23268
Koebenhavn;2011K3;24307;21939
Koebenhavn;2011K4;22525;22269
